Date,Open,High,Low,Close,Volume,Change,ChangePct
1998-01-02,20.72,20.78,20.19,20.38,646600,0.405,-1.949
1998-01-05,20.28,20.60,19.82,20.00,985400,0.375,-1.84
1998-01-06,19.75,19.85,19.07,19.38,2035500,0.625,-3.125
1998-01-07,19.25,19.50,19.10,19.50,1680800,0.125,0.645
1998-01-08,19.50,19.50,19.10,19.25,1141700,0.250,-1.282
1998-01-09,19.38,19.75,19.22,19.66,1329700,0.405,2.104
1998-01-12,19.63,19.88,19.44,19.69,1298000,0.035,0.178
1998-01-13,19.63,20.35,19.63,20.25,1178800,0.560,2.844
1998-01-14,20.25,20.50,19.88,20.00,1176300,0.250,-1.235
1998-01-15,20.00,20.03,19.88,19.91,980100,0.095,-0.475
1998-01-16,20.00,20.38,20.00,20.07,1330400,0.160,0.804
1998-01-20,20.35,21.19,20.22,21.03,1931500,0.965,4.809
1998-01-21,20.91,21.19,20.63,21.13,1292500,0.095,0.452
1998-01-22,21.00,21.47,21.00,21.32,2221200,0.190,0.899
1998-01-23,21.32,21.50,20.75,20.82,1527200,0.500,-2.346
1998-01-26,20.75,20.94,20.00,20.10,1957900,0.720,-3.459
1998-01-27,20.25,20.69,20.22,20.57,1650500,0.470,2.339
1998-01-28,20.69,20.69,20.41,20.47,793200,0.095,-0.462
1998-01-29,20.25,20.60,20.19,20.41,1248400,0.065,-0.318
1998-01-30,20.50,20.94,20.47,20.72,1048700,0.315,1.544
1998-02-02,20.91,21.28,20.88,21.00,1312900,0.280,1.351
1998-02-03,20.97,21.38,20.97,21.22,1171700,0.220,1.048
1998-02-04,21.22,21.28,21.13,21.22,884100,,
1998-02-05,21.25,21.38,21.00,21.16,896400,0.065,-0.306
1998-02-06,21.16,21.16,20.82,20.91,481300,0.250,-1.182
1998-02-09,20.97,21.07,20.75,20.97,604700,0.065,0.311
1998-02-10,20.97,21.38,20.91,21.22,1093100,0.250,1.192
1998-02-11,21.22,21.25,20.88,21.00,822400,0.220,-1.037
1998-02-12,20.91,21.66,20.85,21.63,978200,0.625,2.976
1998-02-13,21.44,21.69,21.35,21.66,573500,0.030,0.139
1998-02-17,21.72,22.07,21.60,21.97,1301600,0.315,1.455
1998-02-18,21.97,22.25,21.91,22.25,1425400,0.280,1.274
1998-02-19,22.19,22.88,22.19,22.82,2735700,0.565,2.539
1998-02-20,22.75,23.03,22.50,22.82,1171200,,
1998-02-23,22.69,22.75,22.28,22.50,985200,0.315,-1.381
1998-02-24,22.32,22.47,22.00,22.19,1364500,0.310,-1.378
1998-02-25,22.32,23.19,22.25,23.19,2209300,1.000,4.507
1998-02-26,23.07,23.82,23.07,23.47,2411600,0.280,1.207
1998-02-27,23.28,23.57,23.00,23.50,861900,0.030,0.128
1998-03-02,23.19,23.47,23.13,23.44,602300,0.060,-0.255
1998-03-03,23.44,23.60,23.32,23.44,688600,,
1998-03-04,23.22,23.60,23.19,23.38,658100,0.065,-0.277
1998-03-05,23.07,23.63,23.07,23.60,837900,0.220,0.941
1998-03-06,23.47,24.00,23.41,23.85,1048200,0.250,1.060
1998-03-09,23.66,23.94,23.63,23.82,668300,0.030,-0.126
1998-03-10,23.91,23.97,23.78,23.88,877800,0.060,0.252
1998-03-11,23.60,23.85,23.60,23.75,712600,0.125,-0.524
